wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,source_file
3.0,1.0,0.0,3.0,9.0,3.0,1.0,2.0,2.0,2.0,43.0,0.0,0.0,0.0,0.666666667,0.0,0.0,13.33333333,1.0,0.6667,0,ant-1.3
27.0,3.0,0.0,11.0,83.0,291.0,2.0,9.0,20.0,0.889423077,658.0,1.0,2.0,0.587301587,0.185185185,0.0,0.0,23.07407407,11.0,1.9259,1,ant-1.3
10.0,3.0,0.0,9.0,70.0,1.0,1.0,8.0,8.0,0.703703704,440.0,0.666666667,1.0,0.804347826,0.466666667,1.0,1.0,42.4,6.0,1.9,0,ant-1.3
24.0,3.0,0.0,27.0,80.0,182.0,20.0,8.0,18.0,0.565217391,693.0,0.666666667,2.0,0.588235294,0.154150198,2.0,5.0,27.75,13.0,2.2917,0,ant-1.3
6.0,2.0,0.0,3.0,11.0,13.0,2.0,1.0,6.0,0.8,68.0,1.0,0.0,0.924242424,0.444444444,1.0,5.0,10.16666667,3.0,1.5,0,ant-1.3
14.0,3.0,0.0,5.0,35.0,63.0,0.0,5.0,13.0,0.909090909,307.0,1.0,0.0,0.74,0.595238095,2.0,3.0,20.14285714,7.0,1.3571,0,ant-1.3
5.0,4.0,0.0,1.0,9.0,10.0,1.0,0.0,3.0,0.75,81.0,0.0,0.0,0.924528302,0.44,2.0,2.0,15.0,5.0,2.0,0,ant-1.3
2.0,1.0,0.0,5.0,29.0,0.0,0.0,5.0,0.0,0.0,176.0,1.0,2.0,0.0,0.6,0.0,0.0,85.5,10.0,5.0,0,ant-1.3
2.0,2.0,0.0,9.0,23.0,1.0,1.0,8.0,2.0,2.0,204.0,0.0,0.0,0.958333333,1.0,1.0,1.0,101.0,1.0,0.5,0,ant-1.3
5.0,1.0,0.0,10.0,5.0,10.0,10.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.533333333,0.0,0.0,0.0,1.0,1.0,0,ant-1.3
5.0,1.0,0.0,7.0,17.0,0.0,0.0,7.0,5.0,0.5,75.0,1.0,0.0,0.0,0.8,0.0,0.0,13.4,3.0,1.2,0,ant-1.3
12.0,3.0,11.0,18.0,37.0,0.0,12.0,6.0,11.0,0.454545455,164.0,1.0,1.0,0.770833333,0.416666667,0.0,0.0,12.5,6.0,1.5833,0,ant-1.3
2.0,2.0,0.0,8.0,17.0,1.0,1.0,7.0,2.0,2.0,97.0,1.0,0.0,0.958333333,1.0,0.0,0.0,47.0,1.0,0.5,0,ant-1.3
17.0,1.0,0.0,19.0,73.0,112.0,13.0,7.0,5.0,0.84375,502.0,1.0,1.0,0.0,0.170454545,0.0,0.0,28.17647059,2.0,1.0,1,ant-1.3
1.0,2.0,0.0,9.0,3.0,0.0,6.0,3.0,1.0,2.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0,ant-1.3
18.0,4.0,0.0,8.0,49.0,19.0,0.0,8.0,16.0,0.773109244,579.0,1.0,0.0,0.821052632,0.296296296,2.0,3.0,30.77777778,14.0,2.1111,0,ant-1.3
23.0,3.0,0.0,10.0,96.0,175.0,1.0,10.0,19.0,0.886363636,1034.0,1.0,2.0,0.627118644,0.191304348,2.7357079116978245,3.0,43.08695652,7.0,1.3043,0,ant-1.3
42.0,4.0,1.0,19.0,74.0,741.0,7.0,13.0,40.0,0.948350072,550.0,1.0,4.0,0.655462185,0.210884354,2.7357079116978245,3.0,11.69047619,2.0,1.2143,0,ant-1.3
5.0,1.0,0.0,4.0,20.0,0.0,0.0,4.0,4.0,0.333333333,144.0,1.0,1.0,0.0,0.9,0.0,0.0,27.2,5.0,2.2,0,ant-1.3
3.0,3.0,0.0,2.0,6.0,1.0,0.0,2.0,3.0,0.5,29.0,1.0,0.0,0.948717949,0.666666667,0.0,0.0,8.333333333,1.0,0.6667,0,ant-1.3
7.0,1.0,0.0,6.0,7.0,21.0,5.0,1.0,7.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,ant-1.3
3.0,1.0,0.0,15.0,3.0,3.0,15.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,ant-1.3
11.0,3.0,0.0,11.0,37.0,11.0,3.0,8.0,10.0,0.683333333,285.0,1.0,3.0,0.75,0.287878788,1.0,1.0,24.36363636,3.0,1.9091,0,ant-1.3
5.0,1.0,0.0,51.0,10.0,8.0,51.0,0.0,3.0,0.3125,69.0,0.75,1.0,0.0,0.583333333,0.0,0.0,12.0,3.0,0.6,0,ant-1.3
4.0,3.0,0.0,4.0,32.0,2.0,0.0,4.0,4.0,0.666666667,215.0,1.0,0.0,0.925,0.75,1.0,1.0,52.25,1.0,0.75,0,ant-1.3
9.0,1.0,0.0,8.0,25.0,10.0,5.0,3.0,7.0,0.6875,114.0,1.0,0.0,0.0,0.25,0.0,0.0,11.22222222,1.0,0.8889,1,ant-1.3
11.0,2.0,0.0,7.0,15.0,13.0,5.0,3.0,11.0,0.75,97.0,1.0,3.0,0.2,0.220779221,0.0,0.0,7.272727273,1.0,0.7273,0,ant-1.3
4.0,2.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,0.222222222,68.0,1.0,1.0,0.625,0.5,1.0,1.0,15.25,2.0,1.0,0,ant-1.3
5.0,1.0,0.0,16.0,12.0,4.0,14.0,2.0,5.0,0.25,55.0,1.0,0.0,0.0,0.533333333,0.0,0.0,9.8,1.0,0.6,0,ant-1.3
8.0,4.0,0.0,12.0,65.0,2.0,0.0,12.0,6.0,0.916666667,583.0,0.166666667,0.0,0.917647059,0.333333333,2.7357079116978245,3.0,70.375,3.0,1.25,0,ant-1.3
13.0,4.0,0.0,7.0,55.0,30.0,1.0,7.0,10.0,0.802083333,590.0,1.0,1.0,0.866666667,0.5,2.0,2.0,43.76923077,1.0,0.9231,0,ant-1.3
8.0,3.0,0.0,3.0,40.0,10.0,0.0,3.0,8.0,0.714285714,271.0,1.0,0.0,0.840909091,0.40625,1.0,1.0,32.375,4.0,1.25,0,ant-1.3
6.0,1.0,0.0,7.0,26.0,0.0,1.0,6.0,6.0,0.65,185.0,1.0,3.0,0.0,0.305555556,0.0,0.0,29.16666667,1.0,0.8333,0,ant-1.3
4.0,1.0,0.0,5.0,4.0,6.0,4.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.0,1.0,0,ant-1.3
8.0,4.0,0.0,7.0,34.0,6.0,0.0,7.0,8.0,0.761904762,626.0,1.0,0.0,0.917647059,0.4375,2.0,2.0,76.5,3.0,1.625,1,ant-1.3
21.0,1.0,0.0,25.0,77.0,162.0,10.0,16.0,14.0,0.7375,566.0,0.916666667,4.0,0.0,0.135,0.0,0.0,25.38095238,7.0,1.8095,1,ant-1.3
6.0,5.0,1.0,6.0,33.0,7.0,1.0,5.0,3.0,0.7,164.0,1.0,0.0,0.961538462,0.5,2.7357079116978245,6.0,26.0,2.0,1.0,0,ant-1.3
5.0,3.0,0.0,7.0,20.0,2.0,0.0,7.0,5.0,0.625,76.0,1.0,1.0,0.902439024,0.6,2.0,2.0,13.8,2.0,1.0,0,ant-1.3
57.18102901592539,1.0,0.0,62.94692260261135,135.28130348624742,2247.0,53.869034526728356,7.0,40.652358708017445,0.97244898,2193.0,0.571428571,0.0,0.0,0.127731092,0.0,0.0,29.49295775,18.0,1.5775,1,ant-1.3
4.0,3.0,0.0,3.0,17.0,4.0,0.0,3.0,3.0,0.666666667,152.0,1.0,0.0,0.925,0.75,1.0,1.0,36.75,1.0,0.75,0,ant-1.3
8.0,1.0,0.0,6.0,25.0,0.0,5.0,1.0,7.0,0.6,169.0,1.0,0.0,0.0,0.416666667,0.0,0.0,19.5,7.0,1.875,0,ant-1.3
3.0,1.0,0.0,9.0,25.0,1.0,7.0,2.0,3.0,0.0,277.0,1.0,1.0,0.0,0.666666667,0.0,0.0,91.0,14.0,5.027892498473187,0,ant-1.3
9.0,5.0,0.0,10.0,20.0,4.0,3.0,7.0,9.0,0.6875,110.0,1.0,0.0,0.919191919,0.388888889,2.0,7.0,10.77777778,3.0,1.2222,0,ant-1.3
17.0,3.0,1.0,12.0,64.0,52.0,1.0,11.0,13.0,0.793269231,642.0,1.0,1.0,0.698113208,0.242647059,1.0,1.0,36.0,11.0,2.0,0,ant-1.3
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ant-1.3
31.0,1.0,0.0,6.0,65.0,243.0,4.0,2.0,30.0,0.726666667,747.0,1.0,0.0,0.0,0.182795699,1.0,1.0,22.61290323,4.0,1.1613,0,ant-1.3
21.0,1.0,0.0,2.0,35.0,38.0,2.0,0.0,17.0,0.631818182,617.0,0.818181818,0.0,0.0,0.293650794,0.0,0.0,27.85714286,3.0,0.8571,0,ant-1.3
3.0,1.0,1.0,5.0,9.0,0.0,3.0,2.0,3.0,0.0,47.0,1.0,0.0,0.0,0.666666667,0.0,0.0,14.33333333,1.0,0.6667,0,ant-1.3
15.0,3.0,0.0,3.0,37.0,41.0,1.0,2.0,14.0,0.696428571,437.0,0.75,1.0,0.454545455,0.311111111,1.0,2.0,27.33333333,1.0,0.8,0,ant-1.3
13.0,1.0,0.0,4.0,13.0,78.0,4.0,0.0,13.0,2.0,13.0,0.0,0.0,0.0,0.326923077,0.0,0.0,0.0,1.0,1.0,0,ant-1.3
10.0,1.0,4.0,17.0,81.0,5.0,4.0,13.0,4.0,0.783625731,743.0,1.0,6.387403980937025,0.0,0.259259259,0.0,0.0,71.4,14.0,4.2,1,ant-1.3
8.0,1.0,0.0,1.0,14.0,28.0,1.0,0.0,8.0,2.0,274.0,0.0,0.0,0.0,0.45,0.0,0.0,33.25,7.0,2.875,0,ant-1.3
6.0,3.0,0.0,4.0,25.0,11.0,0.0,4.0,4.0,0.8,157.0,1.0,0.0,0.880952381,0.4,2.0,2.0,24.83333333,1.0,0.8333,0,ant-1.3
8.0,3.0,0.0,7.0,32.0,8.0,3.0,4.0,5.0,0.738095238,300.0,0.833333333,0.0,0.860465116,0.357142857,1.0,1.0,35.75,1.0,0.75,0,ant-1.3
2.0,2.0,0.0,9.0,19.0,1.0,1.0,8.0,2.0,2.0,120.0,0.0,0.0,0.958333333,1.0,1.0,1.0,59.0,1.0,0.5,0,ant-1.3
8.0,3.0,0.0,8.0,25.0,14.0,1.0,7.0,8.0,0.714285714,157.0,1.0,1.0,0.840909091,0.375,0.0,0.0,18.25,2.0,1.125,0,ant-1.3
19.0,3.0,1.0,18.0,56.0,97.0,5.0,13.0,12.0,0.814814815,406.0,1.0,2.0,0.672727273,0.190789474,0.0,0.0,19.89473684,3.0,1.0526,0,ant-1.3
5.0,1.0,0.0,1.0,18.0,0.0,1.0,0.0,3.0,0.5,96.0,1.0,0.0,0.0,0.533333333,0.0,0.0,17.8,2.0,1.0,0,ant-1.3
22.0,3.0,0.0,17.0,77.0,95.0,0.0,17.0,19.0,0.742857143,439.0,1.0,1.0,0.637931034,0.172727273,1.0,1.0,18.72727273,2.0,1.0,0,ant-1.3
19.0,1.0,0.0,23.0,46.0,65.0,22.0,3.0,17.0,0.416666667,448.0,1.0,0.0,0.0,0.289473684,0.0,0.0,22.47368421,16.0,2.4211,0,ant-1.3
19.0,4.0,0.0,8.0,69.0,91.0,2.0,8.0,13.0,0.777777778,632.0,1.0,2.0,0.8125,0.368421053,1.0,1.0,31.89473684,5.0,1.2632,1,ant-1.3
5.0,4.0,0.0,8.0,45.0,6.0,0.0,8.0,4.0,0.75,261.0,1.0,0.0,0.951219512,0.6,2.7357079116978245,5.0,50.8,7.0,2.0,0,ant-1.3
21.0,1.0,0.0,9.0,47.0,48.0,1.0,8.0,21.0,0.68,277.0,1.0,4.0,0.0,0.30952381,0.0,0.0,11.95238095,7.0,1.4286,1,ant-1.3
5.0,1.0,0.0,1.0,35.0,4.0,1.0,0.0,4.0,0.583333333,354.0,1.0,0.0,0.0,0.5,0.0,0.0,69.2,8.0,3.2,0,ant-1.3
4.0,3.0,0.0,8.0,42.0,2.0,0.0,8.0,4.0,0.666666667,242.0,1.0,0.0,0.925,0.75,2.0,3.0,59.0,1.0,0.75,0,ant-1.3
8.0,3.0,0.0,6.0,55.0,24.0,0.0,6.0,3.0,0.80952381,643.0,0.5,0.0,0.840909091,0.303571429,0.0,0.0,78.625,3.0,1.25,0,ant-1.3
3.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,ant-1.3
11.0,1.0,1.0,8.0,17.0,41.0,6.0,2.0,8.0,0.7,93.0,1.0,0.0,0.0,0.666666667,0.0,0.0,7.090909091,1.0,0.7273,0,ant-1.3
3.0,1.0,0.0,2.0,15.0,0.0,2.0,0.0,3.0,0.166666667,100.0,1.0,0.0,0.0,0.666666667,0.0,0.0,31.33333333,2.0,1.0,0,ant-1.3
4.0,1.0,0.0,4.0,5.0,0.0,3.0,1.0,4.0,0.333333333,24.0,1.0,0.0,0.0,0.875,0.0,0.0,4.75,1.0,0.75,0,ant-1.3
2.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,2.0,45.0,0.0,0.0,0.0,0.666666667,0.0,0.0,21.5,8.0,4.0,0,ant-1.3
14.0,3.0,0.0,6.0,33.0,65.0,0.0,6.0,14.0,0.91025641,404.0,1.0,1.0,0.74,0.595238095,2.0,3.0,27.0,2.0,1.0,0,ant-1.3
6.0,3.0,0.0,4.0,24.0,5.0,0.0,4.0,5.0,0.733333333,153.0,1.0,0.0,0.880952381,0.5,0.0,0.0,24.0,1.0,0.8333,0,ant-1.3
14.0,5.0,0.0,10.0,43.0,15.0,0.0,10.0,12.0,0.615384615,168.0,1.0,1.0,0.891666667,0.392857143,2.7357079116978245,5.0,10.85714286,5.0,1.3571,0,ant-1.3
19.0,1.0,0.0,18.0,47.0,97.0,16.0,5.0,16.0,0.833333333,273.0,1.0,1.0,0.0,0.305263158,0.0,0.0,13.0,3.0,1.4211,1,ant-1.3
3.0,2.0,0.0,8.0,18.0,3.0,1.0,7.0,2.0,1.0,132.0,0.0,0.0,0.92,0.5,0.0,0.0,42.0,1.0,0.6667,0,ant-1.3
19.0,1.0,11.234587853670119,62.94692260261135,23.0,119.0,53.869034526728356,5.0,16.0,0.873015873,125.0,1.0,4.0,0.0,0.218045113,0.0,0.0,5.210526316,2.0,1.0,0,ant-1.3
7.0,4.0,0.0,11.0,32.0,0.0,0.0,11.0,6.0,0.666666667,189.0,1.0,1.0,0.928571429,0.342857143,1.0,1.0,25.42857143,3.0,1.1429,0,ant-1.3
4.0,3.0,0.0,6.0,15.0,0.0,4.0,2.0,4.0,0.333333333,82.0,0.0,0.0,0.925,0.625,1.0,1.0,19.25,1.0,0.75,0,ant-1.3
8.0,4.0,0.0,6.0,35.0,4.0,0.0,6.0,7.0,0.714285714,265.0,1.0,0.0,0.917647059,0.46875,2.7357079116978245,3.0,31.375,5.0,1.375,0,ant-1.3
57.18102901592539,3.0,0.0,21.0,135.28130348624742,1670.0,6.0,21.0,40.652358708017445,0.9171875,1504.0,1.0,5.0,0.37,0.244140625,2.7357079116978245,3.0,21.83076923,10.0,1.5231,0,ant-1.3
14.0,4.0,0.0,62.94692260261135,28.0,0.0,53.869034526728356,1.0,14.0,0.384615385,153.0,1.0,1.0,0.65,0.333333333,1.0,2.0,9.785714286,2.0,0.6429,0,ant-1.3
14.0,1.0,0.0,24.0,63.0,63.0,20.0,20.0,9.0,0.841346154,822.0,0.4375,0.0,0.0,0.333333333,0.0,0.0,56.57142857,24.0,2.7857,1,ant-1.3
4.0,2.0,0.0,3.0,16.0,0.0,0.0,3.0,4.0,0.333333333,59.0,1.0,0.0,0.842105263,0.875,1.0,1.0,13.5,5.0,1.75,0,ant-1.3
27.0,1.0,0.0,3.0,63.0,297.0,1.0,2.0,10.0,0.778846154,527.0,0.0,2.0,0.0,0.37962963,0.0,0.0,18.22222222,11.0,1.4444,0,ant-1.3
14.0,3.0,0.0,8.0,41.0,33.0,1.0,8.0,10.0,0.760683761,385.0,1.0,2.0,0.74,0.357142857,1.0,1.0,25.85714286,4.0,1.5714,0,ant-1.4
5.0,3.0,0.0,9.0,43.0,0.0,0.0,9.0,5.0,0.666666667,276.0,1.0,0.0,0.902439024,0.533333333,2.0,3.0,53.6,1.0,0.8,0,ant-1.4
13.0,1.0,1.0,8.0,20.0,46.0,6.0,2.0,8.0,0.666666667,111.0,1.0,0.0,0.0,0.615384615,0.0,0.0,7.230769231,1.0,0.7692,0,ant-1.4
8.0,4.0,0.0,7.0,35.0,4.0,0.0,7.0,7.0,0.714285714,265.0,1.0,0.0,0.917647059,0.46875,2.7357079116978245,3.0,31.375,5.0,1.375,0,ant-1.4
31.0,1.0,0.0,6.0,65.0,243.0,4.0,2.0,30.0,0.726666667,747.0,1.0,0.0,0.0,0.182795699,1.0,1.0,22.61290323,4.0,1.1613,0,ant-1.4
15.0,3.0,0.0,3.0,37.0,41.0,1.0,2.0,14.0,0.696428571,437.0,0.75,1.0,0.454545455,0.311111111,1.0,2.0,27.33333333,1.0,0.8,0,ant-1.4
12.0,1.0,0.0,3.0,21.0,44.0,1.0,2.0,5.0,0.805194805,147.0,1.0,1.0,0.0,0.261904762,0.0,0.0,10.66666667,4.0,1.25,0,ant-1.4
2.0,2.0,0.0,6.0,9.0,1.0,1.0,5.0,2.0,2.0,33.0,0.0,0.0,0.958333333,1.0,0.0,0.0,15.5,1.0,0.5,0,ant-1.4
6.0,3.0,0.0,6.0,16.0,5.0,0.0,6.0,5.0,0.733333333,95.0,1.0,0.0,0.880952381,0.5,0.0,0.0,14.33333333,1.0,0.8333,0,ant-1.4
15.0,4.0,2.0,18.0,55.0,37.0,2.0,16.0,9.0,0.728571429,730.0,1.0,4.0,0.846153846,0.193333333,2.7357079116978245,7.0,47.0,12.0,2.4667,1,ant-1.4
7.0,3.0,0.0,8.0,22.0,0.0,0.0,8.0,7.0,0.625,147.0,1.0,0.0,0.860465116,0.342857143,1.0,1.0,19.42857143,5.0,1.4286,0,ant-1.4
26.0,3.0,0.0,15.0,108.0,233.0,1.0,15.0,22.0,0.902608696,1156.0,1.0,2.0,0.596774194,0.16025641,2.7357079116978245,3.0,42.57692308,7.0,1.2692,1,ant-1.4
3.0,3.0,0.0,5.0,22.0,0.0,1.0,5.0,3.0,0.0,149.0,1.0,0.0,0.948717949,0.666666667,0.0,0.0,48.33333333,1.0,0.6667,0,ant-1.4
19.0,1.0,0.0,30.0,46.0,65.0,29.0,3.0,17.0,0.416666667,448.0,1.0,0.0,0.0,0.289473684,0.0,0.0,22.47368421,16.0,2.4211,0,ant-1.4
6.0,4.0,0.0,8.0,34.0,0.0,0.0,8.0,6.0,0.6,493.0,1.0,0.0,0.939759036,0.555555556,1.0,1.0,80.5,1.0,0.8333,1,ant-1.4
2.0,2.0,0.0,10.0,9.0,1.0,6.0,4.0,2.0,2.0,31.0,0.0,0.0,0.923076923,0.666666667,0.0,0.0,14.5,1.0,0.5,0,ant-1.4
26.0,3.0,0.0,33.0,80.0,201.0,26.0,8.0,20.0,0.573333333,719.0,0.666666667,2.0,0.566037736,0.152727273,2.0,8.491679240622616,26.53846154,14.0,2.2692,0,ant-1.4
3.0,3.0,0.0,3.0,10.0,0.0,0.0,3.0,3.0,0.0,32.0,1.0,0.0,0.948717949,0.666666667,0.0,0.0,9.333333333,1.0,0.6667,0,ant-1.4
3.0,2.0,0.0,9.0,22.0,3.0,1.0,8.0,2.0,2.0,128.0,0.0,0.0,0.92,1.0,1.0,1.0,41.66666667,9.0,3.3333,0,ant-1.4
9.0,3.0,0.0,9.0,29.0,0.0,0.0,9.0,9.0,0.583333333,168.0,1.0,1.0,0.822222222,0.444444444,0.0,0.0,17.33333333,2.0,1.4444,0,ant-1.4
